Sample	QualiMap_mqc-generalstats-general_error_rate	QualiMap_mqc-generalstats-percentage_aligned	QualiMap_mqc-generalstats-10_x_pc	QualiMap_mqc-generalstats-median_coverage	QualiMap_mqc-generalstats-30_x_pc	QualiMap_mqc-generalstats-median_insert_size	QualiMap_mqc-generalstats-mapped_reads	QualiMap_mqc-generalstats-50_x_pc	QualiMap_mqc-generalstats-1_x_pc	QualiMap_mqc-generalstats-total_reads	QualiMap_mqc-generalstats-avg_gc	QualiMap_mqc-generalstats-5_x_pc
BRB189_S17_L001	0.49	99.7229369393	0.399158010136	0	0.373800647458	157	2815362.0	0.359629457628	0.552307379639	2823184.0	46.4087029207	0.414758883867
BRB18_S4_L001	0.45	99.381189267	0.361248181285	0	0.275922201017	238	535602.0	0.191738383105	0.531103231713	538937.0	43.6050737059	0.388948731354
BRB190_S11_L001	0.37	99.4786544276	0.328288477293	0	0.253487596717	117	436958.0	0.176959322923	0.459657523806	439248.0	43.0003847305	0.356464456689
BRB191_S12_L001	0.4	99.4317861786	0.326917656071	0	0.245329455883	139	441325.0	0.171260962863	0.46158414455	443847.0	41.8762493261	0.355677734352
BRB193_S18_L001	0.49	99.6080448744	0.402409041144	0	0.37578613088	161	2720475.0	0.360926700503	0.543369308316	2731180.0	46.3182202071	0.4181468838
BRB194_S19_L001	0.61	99.6545532743	0.400946529981	0	0.374570390176	161	2678539.0	0.360013197013	0.543730408208	2687824.0	46.0107975129	0.416892655959
BRB197_S10_L001	0.49	99.7402230879	0.40682713795	0	0.368398864738	199	1519657.0	0.347194716812	0.585262555732	1523615.0	47.2487897796	0.426449917381
BRB199_S20_L001	0.41	99.7877115489	0.398598814691	0	0.369911182784	172	1956378.0	0.35202824829	0.519557090946	1960540.0	46.3422924409	0.416219131081
BRB19_S5_L001	0.39	99.6169359971	0.39650239776	0	0.360001877267	211	1408707.0	0.335085984676	0.723293272677	1414124.0	46.0074489197	0.415375810016
BRB1_S9_L001	0.44	99.7600417073	0.390780266233	0	0.363586840777	153	2114449.0	0.349207367624	0.552016462171	2119535.0	45.6333078064	0.405954385545
BRB200_S20_L001	0.46	99.7491535839	0.399568916911	0	0.372873560273	164	2486905.0	0.357827354089	0.53130245924	2493159.0	46.2075717926	0.416596078618
BRB201_S21_L001	0.47	99.762136145	0.390474633095	0	0.36178020934	152	1891952.0	0.346145376372	0.507568348116	1896463.0	45.9800516648	0.405638564635
BRB203_S11_L001	0.53	99.7632582249	0.396904248738	0	0.35572414531	207	1091429.0	0.329290274801	0.548492625287	1094019.0	48.0499038689	0.417884265696
BRB205_S22_L001	0.49	99.745151353	0.399117259051	0	0.370293790193	170	2041489.0	0.353901666228	0.51774593161	2046705.0	46.9285123156	0.41600405591
BRB207_S12_L001	0.58	99.7277398189	0.390029767083	0	0.34867307562	204	993394.0	0.319783952236	0.516038913936	996106.0	45.4383806089	0.40948614625
BRB208_S21_L001	0.46	99.7604215281	0.414720396731	0	0.386199165087	179	2945612.0	0.370056075531	0.585681386328	2952686.0	46.5922881178	0.431359291156
BRB20_S6_L001	0.38	99.5607930568	0.355123066805	0	0.296691670702	165	625192.0	0.240031814825	0.531129267128	627950.0	43.4306393245	0.375848389482
BRB215_S23_L001	0.53	99.6817050704	0.402252828652	0	0.372217015013	175	2020912.0	0.354662353149	0.528808719229	2027365.0	47.1218973886	0.418956245628
BRB21_S7_L001	0.4	99.4368191682	0.377127520763	0	0.330125672045	204	824372.0	0.284256929886	0.597202623654	829041.0	45.0558624483	0.39762078865
BRB220_S13_L001	0.42	99.6104689494	0.389057400914	0	0.351669412346	132	1811513.0	0.331822501948	0.62907450007	1818597.0	44.3980910396	0.411571243435
BRB224_S14_L001	0.44	99.5750066978	0.394832735247	0	0.357691517139	144	1928974.0	0.338528319389	0.647549457271	1937207.0	44.7214687711	0.41981088644
BRB225_S15_L001	0.55	99.4751241261	0.402232453109	0	0.371609144661	170	2454300.0	0.354809509845	0.676051445347	2467250.0	45.2162609259	0.420211605443
BRB226_S16_L001	0.38	99.5421598858	0.37697130827	0	0.331806654304	107	1219926.0	0.306751528839	0.574309569647	1225537.0	44.635021626	0.403327072533
BRB229_S17_L001	0.36	99.6296187425	0.37903037004	0	0.339419183388	116	1423506.0	0.3161333342	0.58113424442	1428798.0	44.3633121718	0.404761284332
BRB233_S1_L001	0.44	99.7523025969	0.395789253771	0	0.365579116047	179	1704707.0	0.346343471924	0.534572733816	1708940.0	45.7388397986	0.41382160891
BRB234_S2_L001	0.49	99.6856883597	0.388461982283	0	0.364985961364	150	2430046.0	0.350582716745	0.537445685312	2437708.0	44.8971349648	0.402724862054
BRB236_S13_L001	0.53	99.5826246728	0.427739236433	0	0.390206355118	212	2209128.0	0.368089835676	0.617614389371	2218387.0	49.4152102549	0.45004479563
BRB237_S18_L001	0.39	99.6531969075	0.386293118978	0	0.345843139158	133	1476107.0	0.324205444965	0.601829003783	1481244.0	44.6436978146	0.410974692829
BRB238_S22_L001	0.41	99.8408720313	0.386089363552	0	0.36255787588	139	2385470.0	0.348327823372	0.505391560989	2389272.0	45.492544359	0.400356771222
BRB239_S14_L001	0.52	99.6121631751	0.424317277262	0	0.387657148353	209	2212680.0	0.366716750505	0.613268738939	2221295.0	49.3329233498	0.446054585218
BRB240_S15_L001	0.56	99.5483028582	0.421130768806	0	0.385126053181	206	2057756.0	0.363954732517	0.57318438691	2067093.0	48.8722107159	0.441837979889
BRB241_S3_L001	0.51	99.6229571973	0.37230757298	0	0.320810653185	203	681164.0	0.267805943242	0.466415412078	683742.0	44.0595772113	0.393777734934
BRB242_S16_L001	0.5	99.6133326114	0.406453586337	0	0.361541362702	209	1195873.0	0.331769299142	0.549175205962	1200515.0	50.0516853235	0.430410696453
BRB246_S4_L001	0.42	99.7981870573	0.387791853328	0	0.355624531546	179	1301546.0	0.335857991343	0.501323244331	1304178.0	45.9175737669	0.404022104928
BRB247_S17_L001	0.48	99.6676307098	0.41414988154	0	0.375533700547	205	1678973.0	0.352411987674	0.573578314066	1684572.0	49.9797729506	0.434841244979
BRB249_S19_L001	0.39	99.6429663154	0.386265951588	0	0.355421908096	145	1893875.0	0.337077127971	0.667334109068	1900661.0	44.608257911	0.40617285664
BRB252_S5_L001	0.45	99.7560249963	0.394532761982	0	0.363843799008	182	1589309.0	0.345457135824	0.53169751837	1593196.0	45.6594734571	0.41127353412
BRB253_S18_L001	0.49	99.6995293379	0.420662131327	0	0.385707888117	192	2383068.0	0.367230666966	0.611351173992	2390250.0	48.9494187777	0.438554121618
BRB254_S19_L001	0.47	99.6307024512	0.428744429864	0	0.398241110722	189	3511783.0	0.38046458184	0.672706460448	3524800.0	47.7928956123	0.444887519421
BRB255_S20_L001	0.59	99.6818758353	0.417017173164	0	0.385223402995	180	2661846.0	0.36733028073	0.595445799099	2670341.0	46.8412829337	0.434112253346
BRB257_S21_L001	0.45	99.7387420714	0.422894385209	0	0.390502932459	189	2763586.0	0.371629520204	0.59949260824	2770825.0	47.5668112282	0.441438392861
BRB258_S20_L001	0.56	99.6027218886	0.411703684462	0	0.382152355946	190	2865397.0	0.366310371629	0.760457130277	2876826.0	46.3784111465	0.428949317264
BRB259_S21_L001	0.34	99.7618695903	0.384846455458	0	0.353387749767	146	1796406.0	0.334735072555	0.608434075487	1800694.0	44.3572511924	0.404164733726
BRB260_S6_L001	0.47	99.6580136332	0.40383985702	0	0.369835340487	201	1638886.0	0.34945074216	0.550471316862	1644510.0	46.2697355251	0.422679310038
BRB261_S22_L001	0.36	99.7372103829	0.376573985191	0	0.344763235403	143	1463857.0	0.323409666832	0.599713343284	1467714.0	44.203592445	0.39393734335
BRB264_S7_L001	0.47	99.7219637409	0.405646488457	0	0.373609343753	188	1952574.0	0.355685658174	0.557591437002	1958018.0	46.6578315021	0.422803827242
BRB265_S8_L001	0.42	99.7467833307	0.394079972148	0	0.363696642312	170	1720243.0	0.34724112777	0.527803525797	1724610.0	46.3289242158	0.41056265408
BRB268_S22_L001	0.49	99.7182640915	0.420328198825	0	0.383931819993	201	2074456.0	0.362847661373	0.604182378946	2080317.0	48.4127555659	0.440616579312
BRB270_S9_L001	0.42	99.7747892626	0.381388273101	0	0.351651300753	153	1426995.0	0.333857792252	0.50084668303	1430216.0	45.1765149159	0.397724930312
BRB271_S10_L001	0.44	99.7850892051	0.379510327264	0	0.345389217349	177	1019159.0	0.32071556732	0.479265587567	1021354.0	45.0003607566	0.39719629818
BRB272_S11_L001	0.49	99.7262460543	0.378961319591	0	0.341657097142	188	947158.0	0.310273101773	0.476580543852	949758.0	44.1876301815	0.396999334603
BRB273_S23_L001	0.46	99.7902029987	0.404854106248	0	0.370787331113	172	1808426.0	0.352162953266	0.543723616361	1812228.0	47.7480190174	0.422838918454
BRB275_S24_L001	0.53	99.6622609352	0.41899133684	0	0.381473171195	202	1939604.0	0.360250911675	0.586871091617	1946177.0	49.3664484189	0.438512238558
BRB276_S1_L001	0.51	99.6441443035	0.397081968747	0	0.353508871047	224	985645.0	0.321555492462	0.527930306951	989165.0	47.3932310175	0.419000392637
BRB279_S12_L001	0.47	99.7364076358	0.404474894762	0	0.3779142431	165	2824181.0	0.36336270981	0.561297521793	2831645.0	46.3312423575	0.420416492843
BRB281_S2_L001	0.49	99.6560013132	0.407418028683	0	0.364937286457	221	1262797.0	0.337521993983	0.5668023142	1267156.0	48.7530891602	0.42861991266
BRB282_S3_L001	0.57	99.5321157426	0.416309689048	0	0.372836205111	226	1476971.0	0.346686460223	0.591251833261	1483914.0	49.7604665376	0.435998123005
BRB283_S4_L001	0.53	99.6556292635	0.386887405635	0	0.341349200055	219	848476.0	0.303673689943	0.501656044859	851408.0	45.3423669982	0.408019107188
BRB284_S23_L001	0.39	99.7617102573	0.405467636473	0	0.373919504789	183	2308057.0	0.355783007988	0.681166838497	2313570.0	45.9378257064	0.425341714262
BRB286_S5_L001	0.48	99.7261474674	0.406627910423	0	0.36566627809	218	1299323.0	0.339407863642	0.560841336035	1302891.0	48.8644219266	0.426128436598
BRB287_S6_L001	0.51	99.7005257795	0.401734384292	0	0.360653894628	216	1173205.0	0.33450188579	0.552874498906	1176729.0	47.9291868903	0.42256384863
